Preu;Zona;Superficie;Habitacions;Lavabos;Preu metre;Calefaccio;Aire acondicionat;Any construccio;Aparcament;Piscina;Ascensor;Planta;Consum;Venda/lloguer
261000;Segle XX;115;3;2;2270;No;No;_;No;No;No;_;G;Venda
368000;Centre;190;3;2;1937;Si;No;_;Si;No;No;_;G;Venda
335000;Centre;120;4;2;2792;Si;Si;2022;Si;No;Si;_;A;Venda
460000;Poblenou-Zona Esportiva;348;4;4;1322;Si;No;1998;No;No;Si;_;C;Venda
257000;Ca n�Aurell;249;3;2;1032;Si;No;_;Si;No;No;_;G;Venda
197000;La Maurina;118;3;1;1669;Si;No;1955;No;No;No;_;D;Venda
284000;Ca n�Aurell;120;3;2;2367;Si;No;_;Si;No;No;_;G;Venda
126000;Can Palet;84;3;1;1500;Si;No;1975;No;No;Si;1;G;Venda
207000;La Cogullada;90;3;2;2300;Si;Si;1998;No;No;Si;3;E;Venda
200000;Centre;105;4;2;1905;Si;Si;1975;No;No;Si;_;D;Venda
225000;Ca n�Aurell;82;3;2;2744;Si;No;2021;Si;No;Si;_;_;Venda
177000;Sant Pere;102;3;2;1735;Si;Si;1970;No;No;Si;4;E;Venda
202600;Sant Pere;63;2;1;3216;No;No;_;No;No;Si;_;B;Venda
210500;Poblenou-Zona Esportiva;90;2;2;2339;Si;Si;_;Si;No;Si;_;A;Venda
85000;La Maurina;101;4;1;842;No;No;1965;No;No;No;2;G;Venda
315000;Ca n�Aurell;143;3;2;2203;Si;Si;1968;No;No;Si;_;E;Venda
162000;Can Roca;55;2;1;2945;No;No;_;No;No;No;_;_;Venda
142000;Segle XX;83;3;1;1711;Si;Si;1978;No;No;Si;_;E;Venda
225000;Poblenou-Zona Esportiva;96;3;1;2344;Si;Si;2010;No;No;Si;_;D;Venda
146900;Escoles;63;3;1;2332;Si;Si;1972;No;No;Si;_;G;Venda
169900;Ca nﾴAnglada;136;5;2;1249;No;No;1970;No;No;No;_;G;Venda
87255;Can Boada;62;3;1;1407;No;No;1960;No;No;No;_;E;Venda
149000;La Maurina;82;3;2;1817;Si;No;1962;No;No;No;_;G;Venda
95000;Can Palet;76;3;1;1250;Si;No;1971;No;No;No;2;E;Venda
420000;Centre;155;3;2;2710;Si;No;2018;Si;No;No;1;E;Venda
108500;Egara;50;2;1;2170;Si;No;1970;No;No;No;3;G;Venda
295000;Vallparad�s;80;2;2;3688;Si;Si;2022;No;No;Si;3;G;Venda
145000;La Cogullada;90;3;1;1611;Si;Si;1979;No;No;No;_;E;Venda
395000;Centre;240;4;2;1646;Si;Si;1995;No;No;No;_;E;Venda
326000;Pere parres;107;3;2;3047;Si;Si;_;No;No;Si;_;A;Venda
160000;Can Palet;112;4;1;1429;Si;No;_;No;No;No;3;E;Venda
197000;Poblenou-Zona Esportiva;86;2;2;2291;Si;Si;2002;Si;No;Si;_;E;Venda
293000;Torre-sana;249;4;1;1177;No;Si;2006;Si;No;Si;_;G;Venda
465000;Escoles;185;3;3;2514;Si;Si;2022;Si;Si;No;2;C;Venda
495000;Can Palet de Vista Alegre;429;3;2;1154;No;Si;1998;Si;Si;Si;_;E;Venda
173700;Sant Pere;96;3;1;1809;Si;Si;1989;No;No;Si;_;G;Venda
103000;Can Palet;78;3;1;1321;Si;No;1968;No;No;Si;_;F;Venda
375000;Can Palet de Vista Alegre;174;4;3;2155;Si;No;2003;No;No;No;_;F;Venda
460000;Vallparad�s;207;5;2;2222;Si;Si;1970;Si;Si;No;_;D;Venda
475000;La Cogullada;277;6;2;1715;Si;No;_;Si;No;No;_;G;Venda
167500;Can Palet;75;3;1;2233;Si;Si;1973;No;No;Si;_;_;Venda
198500;Ca n�Aurell;97;2;1;2046;Si;No;1935;No;No;No;_;G;Venda
393000;Centre;181;4;3;2171;Si;Si;2004;No;No;No;_;G;Venda
207000;La Cogullada;90;3;2;2300;Si;Si;1998;No;No;Si;3;E;Venda
110000;X�quer;86;4;1;1279;Si;No;_;No;No;Si;2;F;Venda
140000;Sant Pere Nord;75;3;1;1867;Si;No;1965;No;No;Si;1;E;Venda
201600;Sant Pere;63;2;1;3200;No;No;_;No;No;Si;_;B;Venda
129900;Egara;76;3;1;1709;Si;No;1960;No;No;No;4;E;Venda
222000;Ca n�Anglada;190;4;2;1168;Si;No;_;No;No;No;_;G;Venda
79900;La Maurina;60;2;1;1332;Si;Si;1965;No;No;No;_;G;Venda
217500;Can Palet;76;3;2;2862;Si;Si;_;Si;No;Si;_;_;Venda
165000;Sant Pere Nord;77;2;1;2143;Si;Si;2008;Si;No;Si;2;G;Venda
139000;Sant Pere Nord;105;3;2;1324;Si;No;1979;No;No;Si;_;E;Venda
215000;La Cogullada;110;3;2;1955;Si;Si;_;Si;No;Si;_;G;Venda
118500;La Maurina;100;3;1;1185;No;No;1973;No;No;No;3;G;Venda
169000;Centre;_;_;_;_;No;No;1910;No;No;No;_;G;Venda
