Preu,Zona,Superficie,Habitacions,Lavabos,Preu metre,Calefaccio,Aire acondicionat,Any construccio,Aparcament,Piscina,Ascensor,Planta,Consum,Venda/lloguer,Preu anunci,Preu pred,Status
169000,Ca n�Anglada,120.0,3.0,2.0,1408.0,1,0,1979.0,0,No,0,1.0,G,Venda,169000,270525,xollo
169000,Sant Pere Nord,220.0,3.0,2.0,768.0,0,0,1974.0,1,No,0,2.0,G,Venda,169000,270525,xollo
194000,Can Roca,90.0,3.0,2.0,2156.0,1,1,2006.0,1,No,1,3.0,G,Venda,194000,227462,xollo
129000,Sant Pere,79.0,3.0,1.0,1633.0,1,1,1965.0,0,No,0,2.0,G,Venda,129000,154078,xollo
195000,Segle XX,75.0,3.0,2.0,2600.0,1,1,2003.0,1,No,0,2.0,E,Venda,195000,227462,xollo
130000,Can Palet,64.0,2.0,1.0,2031.0,1,1,2006.0,0,No,1,2.0,D,Venda,130000,131812,xollo
224900,Cementiri Vell,60.0,2.0,1.0,3748.0,1,1,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
235000,Vallparad�s,139.0,4.0,2.0,1691.0,1,1,2000.0,0,No,1,4.0,E,Venda,235000,270525,xollo
93000,Montserrat,40.0,1.0,1.0,2325.0,1,0,2010.0,0,No,1,1.0,E,Venda,93000,131812,xollo
140000,Ca n�Aurell,45.0,1.0,1.0,3111.0,1,1,2022.0,1,No,1,1.0,G,Venda,140000,161000,xollo
215000,Poblenou-Zona Esportiva,70.0,2.0,2.0,3071.0,1,0,2022.0,1,No,1,4.0,G,Venda,215000,262636,xollo
118000,Can Boada,53.0,1.0,1.0,2226.0,1,0,2005.0,0,No,1,2.0,G,Venda,118000,131812,xollo
160000,Poblenou-Zona Esportiva,49.0,1.0,2.0,3265.0,1,0,2022.0,1,No,1,2.0,G,Venda,160000,168400,xollo
103000,Can Palet,64.0,3.0,1.0,1609.0,0,0,1971.0,0,No,0,3.0,E,Venda,103000,103259,xollo
142000,Segle XX,83.0,3.0,1.0,1711.0,1,0,1978.0,0,No,1,1.0,E,Venda,142000,154078,xollo
206000,Can Palet,148.0,4.0,2.0,1392.0,1,1,2002.0,0,No,1,3.0,E,Venda,206000,270525,xollo
147000,Can Jofresa,110.0,4.0,2.0,1336.0,0,0,1975.0,0,No,1,9.0,G,Venda,147000,166660,xollo
224900,Cementiri Vell,78.0,2.0,1.0,2883.0,1,0,2007.0,1,No,1,1.0,C,Venda,224900,226328,xollo
113000,Can Palet,66.0,3.0,1.0,1712.0,1,1,1980.0,1,No,1,3.0,G,Venda,113000,157664,xollo
262500,Ca n�Aurell,86.0,3.0,2.0,3052.0,1,1,2023.0,1,No,1,1.0,G,Venda,262500,262636,xollo
194000,Can Roca,90.0,3.0,2.0,2156.0,1,1,2006.0,1,No,1,3.0,D,Venda,194000,227462,xollo
265000,Vallparad�s,159.0,4.0,2.0,1667.0,1,0,1988.0,1,No,0,2.0,G,Venda,265000,270525,xollo
199900,Ca n�Aurell,126.0,4.0,1.0,1587.0,1,0,1964.0,0,No,1,3.0,G,Venda,199900,270525,xollo
269900,Vallparad�s,135.0,3.0,2.0,1999.0,1,1,2005.0,1,No,1,4.0,G,Venda,269900,270525,xollo
269900,Vallparad�s,135.0,3.0,2.0,1999.0,1,1,2005.0,1,No,1,4.0,G,Venda,269900,270525,xollo
